      | 1.1.1 | 1.1.4 | 1.3.1 | 1.4.1 | 1.5.1 | 2.1.1 | 2.3.1 | 2.3.5 | 2.4.2 | 2.4.3 | 2.5.1 | 2.5.2 | 3.1.3 | 3.2.1 | 3.2.3 | 3.3.2 | 3.5.3 | 3.5.5 | 3.6.1 | 3.6.5 | 4.1.4 | 4.1.5 | 4.3.4 | 4.4.3 | 4.4.4 | 4.4.5 | 4.5.1 | 5.1.1 | 5.1.3 | 5.2.3 |
3.2.1 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
3.2.3 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
3.3.2 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
3.5.3 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
3.5.5 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
3.6.1 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
3.6.5 |0.14286|0.14286|0.14286|0.14286|0.14286|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|0.14286|5.00000|5.00000|5.00000|
4.1.4 |0.11111|0.11111|0.11111|0.11111|0.11111|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|5.00000|5.00000|5.00000|
4.1.5 |0.11111|0.11111|0.11111|0.11111|0.11111|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|5.00000|5.00000|5.00000|
4.3.4 |0.11111|0.11111|0.11111|0.11111|0.11111|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|5.00000|5.00000|5.00000|
4.4.3 |0.11111|0.11111|0.11111|0.11111|0.11111|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|5.00000|5.00000|5.00000|
4.4.4 |0.11111|0.11111|0.11111|0.11111|0.11111|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|5.00000|5.00000|5.00000|
4.4.5 |0.11111|0.11111|0.11111|0.11111|0.11111|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|5.00000|5.00000|5.00000|
4.5.1 |0.11111|0.11111|0.11111|0.11111|0.11111|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|0.33333|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|7.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|1.00000|5.00000|5.00000|5.00000|
5.1.1 |2.00000|2.00000|2.00000|2.00000|2.00000|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|1.00000|1.00000|1.00000|
5.1.3 |2.00000|2.00000|2.00000|2.00000|2.00000|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|1.00000|1.00000|1.00000|
5.2.3 |2.00000|2.00000|2.00000|2.00000|2.00000|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.16667|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|0.20000|1.00000|1.00000|1.00000|
